CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*111/*154,,CYP2D6 Indeterminate,none
*111/*155,,CYP2D6 Indeterminate,none
*111/*156,,CYP2D6 Indeterminate,none
*111/*157,,CYP2D6 Indeterminate,none
*111/*158,,CYP2D6 Indeterminate,none
*111/*159,,CYP2D6 Indeterminate,none
*111/*160,,CYP2D6 Indeterminate,none
*111/*161,,CYP2D6 Indeterminate,none
*111/*162,,CYP2D6 Indeterminate,none
*111/*163,,CYP2D6 Indeterminate,none
*112/*112,,CYP2D6 Indeterminate,none
*112/*113,,CYP2D6 Indeterminate,none
*112/*114,,CYP2D6 Indeterminate,none
*112/*115,,CYP2D6 Indeterminate,none
*112/*116,,CYP2D6 Indeterminate,none
*112/*117,,CYP2D6 Indeterminate,none
*112/*118,,CYP2D6 Indeterminate,none
*112/*119,,CYP2D6 Indeterminate,none
*112/*120,,CYP2D6 Indeterminate,none
*112/*121,,CYP2D6 Indeterminate,none
*112/*122,,CYP2D6 Indeterminate,none
*112/*123,,CYP2D6 Indeterminate,none
*112/*124,,CYP2D6 Indeterminate,none
*112/*125,,CYP2D6 Indeterminate,none
*112/*126,,CYP2D6 Indeterminate,none
*112/*127,,CYP2D6 Indeterminate,none
*112/*128,,CYP2D6 Indeterminate,none
*112/*129,,CYP2D6 Indeterminate,none
*112/*130,,CYP2D6 Indeterminate,none
*112/*131,,CYP2D6 Indeterminate,none
*112/*132,,CYP2D6 Indeterminate,none
*112/*133,,CYP2D6 Indeterminate,none
*112/*134,,CYP2D6 Indeterminate,none
*112/*135,,CYP2D6 Indeterminate,none
*112/*136,,CYP2D6 Indeterminate,none
*112/*137,,CYP2D6 Indeterminate,none
*112/*138,,CYP2D6 Indeterminate,none
*112/*139,,CYP2D6 Indeterminate,none
*112/*140,,CYP2D6 Indeterminate,none
*112/*141,,CYP2D6 Indeterminate,none
*112/*142,,CYP2D6 Indeterminate,none
*112/*143,,CYP2D6 Indeterminate,none
*112/*144,,CYP2D6 Indeterminate,none
*112/*145,,CYP2D6 Indeterminate,none
*112/*146,,CYP2D6 Indeterminate,none
*112/*146x2,,CYP2D6 Indeterminate,none
*112/*147,,CYP2D6 Indeterminate,none
*112/*148,,CYP2D6 Indeterminate,none
*112/*149,,CYP2D6 Indeterminate,none
*112/*152,,CYP2D6 Indeterminate,none
*112/*153,,CYP2D6 Indeterminate,none
*112/*154,,CYP2D6 Indeterminate,none
*112/*155,,CYP2D6 Indeterminate,none
*112/*156,,CYP2D6 Indeterminate,none
*112/*157,,CYP2D6 Indeterminate,none
*112/*158,,CYP2D6 Indeterminate,none
*112/*159,,CYP2D6 Indeterminate,none
*112/*160,,CYP2D6 Indeterminate,none
*112/*161,,CYP2D6 Indeterminate,none
*112/*162,,CYP2D6 Indeterminate,none
*112/*163,,CYP2D6 Indeterminate,none
*113/*113,,CYP2D6 Indeterminate,none
*113/*114,,CYP2D6 Indeterminate,none
*113/*115,,CYP2D6 Indeterminate,none
*113/*116,,CYP2D6 Indeterminate,none
*113/*117,,CYP2D6 Indeterminate,none
*113/*118,,CYP2D6 Indeterminate,none
*113/*119,,CYP2D6 Indeterminate,none
*113/*120,,CYP2D6 Indeterminate,none
*113/*121,,CYP2D6 Indeterminate,none
*113/*122,,CYP2D6 Indeterminate,none
*113/*123,,CYP2D6 Indeterminate,none
*113/*124,,CYP2D6 Indeterminate,none
*113/*125,,CYP2D6 Indeterminate,none
*113/*126,,CYP2D6 Indeterminate,none
*113/*127,,CYP2D6 Indeterminate,none
*113/*128,,CYP2D6 Indeterminate,none
*113/*129,,CYP2D6 Indeterminate,none
*113/*130,,CYP2D6 Indeterminate,none
*113/*131,,CYP2D6 Indeterminate,none
*113/*132,,CYP2D6 Indeterminate,none
*113/*133,,CYP2D6 Indeterminate,none
*113/*134,,CYP2D6 Indeterminate,none
*113/*135,,CYP2D6 Indeterminate,none
*113/*136,,CYP2D6 Indeterminate,none
*113/*137,,CYP2D6 Indeterminate,none
*113/*138,,CYP2D6 Indeterminate,none
*113/*139,,CYP2D6 Indeterminate,none
*113/*140,,CYP2D6 Indeterminate,none
*113/*141,,CYP2D6 Indeterminate,none
*113/*142,,CYP2D6 Indeterminate,none
*113/*143,,CYP2D6 Indeterminate,none
*113/*144,,CYP2D6 Indeterminate,none
*113/*145,,CYP2D6 Indeterminate,none
*113/*146,,CYP2D6 Indeterminate,none
*113/*146x2,,CYP2D6 Indeterminate,none
*113/*147,,CYP2D6 Indeterminate,none
*113/*148,,CYP2D6 Indeterminate,none
*113/*149,,CYP2D6 Indeterminate,none
*113/*152,,CYP2D6 Indeterminate,none
*113/*153,,CYP2D6 Indeterminate,none
*113/*154,,CYP2D6 Indeterminate,none
*113/*155,,CYP2D6 Indeterminate,none
*113/*156,,CYP2D6 Indeterminate,none
*113/*157,,CYP2D6 Indeterminate,none
*113/*158,,CYP2D6 Indeterminate,none
*113/*159,,CYP2D6 Indeterminate,none
*113/*160,,CYP2D6 Indeterminate,none
*113/*161,,CYP2D6 Indeterminate,none
*113/*162,,CYP2D6 Indeterminate,none
*113/*163,,CYP2D6 Indeterminate,none
*114/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*115,,CYP2D6 Indeterminate,none
*114/*116,,CYP2D6 Indeterminate,none
*114/*117,,CYP2D6 Indeterminate,none
*114/*118,,CYP2D6 Indeterminate,none
*114/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*114/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*121,,CYP2D6 Indeterminate,none
*114/*122,,CYP2D6 Indeterminate,none
*114/*123,,CYP2D6 Indeterminate,none
*114/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*125,,CYP2D6 Indeterminate,none
*114/*126,,CYP2D6 Indeterminate,none
*114/*127,,CYP2D6 Indeterminate,none
*114/*128,,CYP2D6 Indeterminate,none
*114/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*130,,CYP2D6 Indeterminate,none
*114/*131,,CYP2D6 Indeterminate,none
*114/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*114/*133,,CYP2D6 Indeterminate,none
*114/*134,,CYP2D6 Indeterminate,none
*114/*135,,CYP2D6 Indeterminate,none
*114/*136,,CYP2D6 Indeterminate,none
*114/*137,,CYP2D6 Indeterminate,none
*114/*138,,CYP2D6 Indeterminate,none
*114/*139,,CYP2D6 Indeterminate,none
*114/*140,,CYP2D6 Indeterminate,none
*114/*141,,CYP2D6 Indeterminate,none
*114/*142,,CYP2D6 Indeterminate,none
*114/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*145,,CYP2D6 Indeterminate,none
*114/*146,,CYP2D6 Indeterminate,none
*114/*146x2,,CYP2D6 Indeterminate,none
*114/*147,,CYP2D6 Indeterminate,none
*114/*148,,CYP2D6 Indeterminate,none
*114/*149,,CYP2D6 Indeterminate,none
*114/*152,,CYP2D6 Indeterminate,none
*114/*153,,CYP2D6 Indeterminate,none
*114/*154,,CYP2D6 Indeterminate,none
*114/*155,,CYP2D6 Indeterminate,none
*114/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*157,,CYP2D6 Indeterminate,none
*114/*158,,CYP2D6 Indeterminate,none
*114/*159,,CYP2D6 Indeterminate,none
*114/*160,,CYP2D6 Indeterminate,none
*114/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*114/*162,,CYP2D6 Indeterminate,none
*114/*163,,CYP2D6 Indeterminate,none
*115/*115,,CYP2D6 Indeterminate,none
*115/*116,,CYP2D6 Indeterminate,none
*115/*117,,CYP2D6 Indeterminate,none
*115/*118,,CYP2D6 Indeterminate,none
*115/*119,,CYP2D6 Indeterminate,none
*115/*120,,CYP2D6 Indeterminate,none
*115/*121,,CYP2D6 Indeterminate,none
*115/*122,,CYP2D6 Indeterminate,none
*115/*123,,CYP2D6 Indeterminate,none
*115/*124,,CYP2D6 Indeterminate,none
*115/*125,,CYP2D6 Indeterminate,none
*115/*126,,CYP2D6 Indeterminate,none
*115/*127,,CYP2D6 Indeterminate,none
*115/*128,,CYP2D6 Indeterminate,none
*115/*129,,CYP2D6 Indeterminate,none
*115/*130,,CYP2D6 Indeterminate,none
*115/*131,,CYP2D6 Indeterminate,none
*115/*132,,CYP2D6 Indeterminate,none
*115/*133,,CYP2D6 Indeterminate,none
*115/*134,,CYP2D6 Indeterminate,none
*115/*135,,CYP2D6 Indeterminate,none
*115/*136,,CYP2D6 Indeterminate,none
*115/*137,,CYP2D6 Indeterminate,none
*115/*138,,CYP2D6 Indeterminate,none
*115/*139,,CYP2D6 Indeterminate,none
*115/*140,,CYP2D6 Indeterminate,none
*115/*141,,CYP2D6 Indeterminate,none
*115/*142,,CYP2D6 Indeterminate,none
*115/*143,,CYP2D6 Indeterminate,none
*115/*144,,CYP2D6 Indeterminate,none
*115/*145,,CYP2D6 Indeterminate,none
*115/*146,,CYP2D6 Indeterminate,none
*115/*146x2,,CYP2D6 Indeterminate,none
*115/*147,,CYP2D6 Indeterminate,none
*115/*148,,CYP2D6 Indeterminate,none
*115/*149,,CYP2D6 Indeterminate,none
*115/*152,,CYP2D6 Indeterminate,none
*115/*153,,CYP2D6 Indeterminate,none
*115/*154,,CYP2D6 Indeterminate,none
*115/*155,,CYP2D6 Indeterminate,none
*115/*156,,CYP2D6 Indeterminate,none
*115/*157,,CYP2D6 Indeterminate,none
*115/*158,,CYP2D6 Indeterminate,none
*115/*159,,CYP2D6 Indeterminate,none
*115/*160,,CYP2D6 Indeterminate,none
*115/*161,,CYP2D6 Indeterminate,none
*115/*162,,CYP2D6 Indeterminate,none
*115/*163,,CYP2D6 Indeterminate,none
*116/*116,,CYP2D6 Indeterminate,none
*116/*117,,CYP2D6 Indeterminate,none
*116/*118,,CYP2D6 Indeterminate,none
*116/*119,,CYP2D6 Indeterminate,none
*116/*120,,CYP2D6 Indeterminate,none
*116/*121,,CYP2D6 Indeterminate,none
*116/*122,,CYP2D6 Indeterminate,none
*116/*123,,CYP2D6 Indeterminate,none
*116/*124,,CYP2D6 Indeterminate,none
*116/*125,,CYP2D6 Indeterminate,none
*116/*126,,CYP2D6 Indeterminate,none
*116/*127,,CYP2D6 Indeterminate,none
*116/*128,,CYP2D6 Indeterminate,none
*116/*129,,CYP2D6 Indeterminate,none
*116/*130,,CYP2D6 Indeterminate,none
*116/*131,,CYP2D6 Indeterminate,none
*116/*132,,CYP2D6 Indeterminate,none
*116/*133,,CYP2D6 Indeterminate,none
*116/*134,,CYP2D6 Indeterminate,none
*116/*135,,CYP2D6 Indeterminate,none
*116/*136,,CYP2D6 Indeterminate,none
*116/*137,,CYP2D6 Indeterminate,none
*116/*138,,CYP2D6 Indeterminate,none
*116/*139,,CYP2D6 Indeterminate,none
*116/*140,,CYP2D6 Indeterminate,none
*116/*141,,CYP2D6 Indeterminate,none
*116/*142,,CYP2D6 Indeterminate,none
*116/*143,,CYP2D6 Indeterminate,none
*116/*144,,CYP2D6 Indeterminate,none
*116/*145,,CYP2D6 Indeterminate,none
*116/*146,,CYP2D6 Indeterminate,none
*116/*146x2,,CYP2D6 Indeterminate,none
*116/*147,,CYP2D6 Indeterminate,none
*116/*148,,CYP2D6 Indeterminate,none
*116/*149,,CYP2D6 Indeterminate,none
*116/*152,,CYP2D6 Indeterminate,none
*116/*153,,CYP2D6 Indeterminate,none
*116/*154,,CYP2D6 Indeterminate,none
*116/*155,,CYP2D6 Indeterminate,none
*116/*156,,CYP2D6 Indeterminate,none
*116/*157,,CYP2D6 Indeterminate,none
*116/*158,,CYP2D6 Indeterminate,none
*116/*159,,CYP2D6 Indeterminate,none
*116/*160,,CYP2D6 Indeterminate,none
*116/*161,,CYP2D6 Indeterminate,none
*116/*162,,CYP2D6 Indeterminate,none
*116/*163,,CYP2D6 Indeterminate,none
*117/*117,,CYP2D6 Indeterminate,none
*117/*118,,CYP2D6 Indeterminate,none
*117/*119,,CYP2D6 Indeterminate,none
*117/*120,,CYP2D6 Indeterminate,none
*117/*121,,CYP2D6 Indeterminate,none
*117/*122,,CYP2D6 Indeterminate,none
*117/*123,,CYP2D6 Indeterminate,none
*117/*124,,CYP2D6 Indeterminate,none
*117/*125,,CYP2D6 Indeterminate,none
*117/*126,,CYP2D6 Indeterminate,none
*117/*127,,CYP2D6 Indeterminate,none
*117/*128,,CYP2D6 Indeterminate,none
*117/*129,,CYP2D6 Indeterminate,none
*117/*130,,CYP2D6 Indeterminate,none
*117/*131,,CYP2D6 Indeterminate,none
*117/*132,,CYP2D6 Indeterminate,none
*117/*133,,CYP2D6 Indeterminate,none
*117/*134,,CYP2D6 Indeterminate,none
*117/*135,,CYP2D6 Indeterminate,none
*117/*136,,CYP2D6 Indeterminate,none
*117/*137,,CYP2D6 Indeterminate,none
*117/*138,,CYP2D6 Indeterminate,none
*117/*139,,CYP2D6 Indeterminate,none
*117/*140,,CYP2D6 Indeterminate,none
*117/*141,,CYP2D6 Indeterminate,none
*117/*142,,CYP2D6 Indeterminate,none
*117/*143,,CYP2D6 Indeterminate,none
*117/*144,,CYP2D6 Indeterminate,none
*117/*145,,CYP2D6 Indeterminate,none
*117/*146,,CYP2D6 Indeterminate,none
*117/*146x2,,CYP2D6 Indeterminate,none
*117/*147,,CYP2D6 Indeterminate,none
*117/*148,,CYP2D6 Indeterminate,none
*117/*149,,CYP2D6 Indeterminate,none
*117/*152,,CYP2D6 Indeterminate,none
*117/*153,,CYP2D6 Indeterminate,none
*117/*154,,CYP2D6 Indeterminate,none
*117/*155,,CYP2D6 Indeterminate,none
*117/*156,,CYP2D6 Indeterminate,none
*117/*157,,CYP2D6 Indeterminate,none
*117/*158,,CYP2D6 Indeterminate,none
*117/*159,,CYP2D6 Indeterminate,none
*117/*160,,CYP2D6 Indeterminate,none
*117/*161,,CYP2D6 Indeterminate,none
*117/*162,,CYP2D6 Indeterminate,none
*117/*163,,CYP2D6 Indeterminate,none
*118/*118,,CYP2D6 Indeterminate,none
*118/*119,,CYP2D6 Indeterminate,none
*118/*120,,CYP2D6 Indeterminate,none
*118/*121,,CYP2D6 Indeterminate,none
*118/*122,,CYP2D6 Indeterminate,none
*118/*123,,CYP2D6 Indeterminate,none
*118/*124,,CYP2D6 Indeterminate,none
*118/*125,,CYP2D6 Indeterminate,none
*118/*126,,CYP2D6 Indeterminate,none
*118/*127,,CYP2D6 Indeterminate,none
*118/*128,,CYP2D6 Indeterminate,none
*118/*129,,CYP2D6 Indeterminate,none
*118/*130,,CYP2D6 Indeterminate,none
*118/*131,,CYP2D6 Indeterminate,none
*118/*132,,CYP2D6 Indeterminate,none
*118/*133,,CYP2D6 Indeterminate,none
*118/*134,,CYP2D6 Indeterminate,none
*118/*135,,CYP2D6 Indeterminate,none
*118/*136,,CYP2D6 Indeterminate,none
*118/*137,,CYP2D6 Indeterminate,none
*118/*138,,CYP2D6 Indeterminate,none
*118/*139,,CYP2D6 Indeterminate,none
*118/*140,,CYP2D6 Indeterminate,none
*118/*141,,CYP2D6 Indeterminate,none
*118/*142,,CYP2D6 Indeterminate,none
*118/*143,,CYP2D6 Indeterminate,none
*118/*144,,CYP2D6 Indeterminate,none
*118/*145,,CYP2D6 Indeterminate,none
*118/*146,,CYP2D6 Indeterminate,none
*118/*146x2,,CYP2D6 Indeterminate,none
*118/*147,,CYP2D6 Indeterminate,none
*118/*148,,CYP2D6 Indeterminate,none
*118/*149,,CYP2D6 Indeterminate,none
*118/*152,,CYP2D6 Indeterminate,none
*118/*153,,CYP2D6 Indeterminate,none
*118/*154,,CYP2D6 Indeterminate,none
*118/*155,,CYP2D6 Indeterminate,none
*118/*156,,CYP2D6 Indeterminate,none
*118/*157,,CYP2D6 Indeterminate,none
*118/*158,,CYP2D6 Indeterminate,none
*118/*159,,CYP2D6 Indeterminate,none
*118/*160,,CYP2D6 Indeterminate,none
*118/*161,,CYP2D6 Indeterminate,none
*118/*162,,CYP2D6 Indeterminate,none
*118/*163,,CYP2D6 Indeterminate,none
*119/*119,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*120,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*121,,CYP2D6 Indeterminate,none
*119/*122,,CYP2D6 Indeterminate,none
*119/*123,,CYP2D6 Indeterminate,none
*119/*124,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*125,,CYP2D6 Indeterminate,none
*119/*126,,CYP2D6 Indeterminate,none
*119/*127,,CYP2D6 Indeterminate,none
*119/*128,,CYP2D6 Indeterminate,none
*119/*129,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*130,,CYP2D6 Indeterminate,none
*119/*131,,CYP2D6 Indeterminate,none
*119/*132,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*133,,CYP2D6 Indeterminate,none
*119/*134,,CYP2D6 Indeterminate,none
*119/*135,,CYP2D6 Indeterminate,none
*119/*136,,CYP2D6 Indeterminate,none
*119/*137,,CYP2D6 Indeterminate,none
*119/*138,,CYP2D6 Indeterminate,none
*119/*139,,CYP2D6 Indeterminate,none
*119/*140,,CYP2D6 Indeterminate,none
*119/*141,,CYP2D6 Indeterminate,none
*119/*142,,CYP2D6 Indeterminate,none
*119/*143,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*144,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*145,,CYP2D6 Indeterminate,none
*119/*146,,CYP2D6 Indeterminate,none
*119/*146x2,,CYP2D6 Indeterminate,none
*119/*147,,CYP2D6 Indeterminate,none
*119/*148,,CYP2D6 Indeterminate,none
*119/*149,,CYP2D6 Indeterminate,none
*119/*152,,CYP2D6 Indeterminate,none
*119/*153,,CYP2D6 Indeterminate,none
*119/*154,,CYP2D6 Indeterminate,none
*119/*155,,CYP2D6 Indeterminate,none
*119/*156,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*157,,CYP2D6 Indeterminate,none
*119/*158,,CYP2D6 Indeterminate,none
*119/*159,,CYP2D6 Indeterminate,none
*119/*160,,CYP2D6 Indeterminate,none
*119/*161,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*119/*162,,CYP2D6 Indeterminate,none
*119/*163,,CYP2D6 Indeterminate,none
*120/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*121,,CYP2D6 Indeterminate,none
*120/*122,,CYP2D6 Indeterminate,none
*120/*123,,CYP2D6 Indeterminate,none
*120/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*125,,CYP2D6 Indeterminate,none
*120/*126,,CYP2D6 Indeterminate,none
*120/*127,,CYP2D6 Indeterminate,none
*120/*128,,CYP2D6 Indeterminate,none
*120/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*130,,CYP2D6 Indeterminate,none
*120/*131,,CYP2D6 Indeterminate,none
*120/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*120/*133,,CYP2D6 Indeterminate,none
*120/*134,,CYP2D6 Indeterminate,none
*120/*135,,CYP2D6 Indeterminate,none
*120/*136,,CYP2D6 Indeterminate,none
*120/*137,,CYP2D6 Indeterminate,none
*120/*138,,CYP2D6 Indeterminate,none
*120/*139,,CYP2D6 Indeterminate,none
*120/*140,,CYP2D6 Indeterminate,none
*120/*141,,CYP2D6 Indeterminate,none
*120/*142,,CYP2D6 Indeterminate,none
*120/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*145,,CYP2D6 Indeterminate,none
*120/*146,,CYP2D6 Indeterminate,none
*120/*146x2,,CYP2D6 Indeterminate,none
*120/*147,,CYP2D6 Indeterminate,none
*120/*148,,CYP2D6 Indeterminate,none
*120/*149,,CYP2D6 Indeterminate,none
*120/*152,,CYP2D6 Indeterminate,none
*120/*153,,CYP2D6 Indeterminate,none
*120/*154,,CYP2D6 Indeterminate,none
*120/*155,,CYP2D6 Indeterminate,none
*120/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*157,,CYP2D6 Indeterminate,none
*120/*158,,CYP2D6 Indeterminate,none
*120/*159,,CYP2D6 Indeterminate,none
*120/*160,,CYP2D6 Indeterminate,none
*120/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*120/*162,,CYP2D6 Indeterminate,none
*120/*163,,CYP2D6 Indeterminate,none
*121/*121,,CYP2D6 Indeterminate,none
*121/*122,,CYP2D6 Indeterminate,none
*121/*123,,CYP2D6 Indeterminate,none
*121/*124,,CYP2D6 Indeterminate,none
*121/*125,,CYP2D6 Indeterminate,none
*121/*126,,CYP2D6 Indeterminate,none
*121/*127,,CYP2D6 Indeterminate,none
*121/*128,,CYP2D6 Indeterminate,none
*121/*129,,CYP2D6 Indeterminate,none
*121/*130,,CYP2D6 Indeterminate,none
*121/*131,,CYP2D6 Indeterminate,none
*121/*132,,CYP2D6 Indeterminate,none
*121/*133,,CYP2D6 Indeterminate,none
*121/*134,,CYP2D6 Indeterminate,none
*121/*135,,CYP2D6 Indeterminate,none
*121/*136,,CYP2D6 Indeterminate,none
*121/*137,,CYP2D6 Indeterminate,none
*121/*138,,CYP2D6 Indeterminate,none
*121/*139,,CYP2D6 Indeterminate,none
*121/*140,,CYP2D6 Indeterminate,none
*121/*141,,CYP2D6 Indeterminate,none
*121/*142,,CYP2D6 Indeterminate,none
*121/*143,,CYP2D6 Indeterminate,none
*121/*144,,CYP2D6 Indeterminate,none
*121/*145,,CYP2D6 Indeterminate,none
*121/*146,,CYP2D6 Indeterminate,none
*121/*146x2,,CYP2D6 Indeterminate,none
*121/*147,,CYP2D6 Indeterminate,none
*121/*148,,CYP2D6 Indeterminate,none
*121/*149,,CYP2D6 Indeterminate,none
*121/*152,,CYP2D6 Indeterminate,none
*121/*153,,CYP2D6 Indeterminate,none
*121/*154,,CYP2D6 Indeterminate,none
*121/*155,,CYP2D6 Indeterminate,none
*121/*156,,CYP2D6 Indeterminate,none
*121/*157,,CYP2D6 Indeterminate,none
*121/*158,,CYP2D6 Indeterminate,none
*121/*159,,CYP2D6 Indeterminate,none
*121/*160,,CYP2D6 Indeterminate,none
*121/*161,,CYP2D6 Indeterminate,none
*121/*162,,CYP2D6 Indeterminate,none
*121/*163,,CYP2D6 Indeterminate,none
*122/*122,,CYP2D6 Indeterminate,none
*122/*123,,CYP2D6 Indeterminate,none
*122/*124,,CYP2D6 Indeterminate,none
*122/*125,,CYP2D6 Indeterminate,none
*122/*126,,CYP2D6 Indeterminate,none
*122/*127,,CYP2D6 Indeterminate,none
*122/*128,,CYP2D6 Indeterminate,none
*122/*129,,CYP2D6 Indeterminate,none
*122/*130,,CYP2D6 Indeterminate,none
*122/*131,,CYP2D6 Indeterminate,none
*122/*132,,CYP2D6 Indeterminate,none
*122/*133,,CYP2D6 Indeterminate,none
*122/*134,,CYP2D6 Indeterminate,none
*122/*135,,CYP2D6 Indeterminate,none
*122/*136,,CYP2D6 Indeterminate,none
*122/*137,,CYP2D6 Indeterminate,none
*122/*138,,CYP2D6 Indeterminate,none
*122/*139,,CYP2D6 Indeterminate,none
*122/*140,,CYP2D6 Indeterminate,none
*122/*141,,CYP2D6 Indeterminate,none
*122/*142,,CYP2D6 Indeterminate,none
*122/*143,,CYP2D6 Indeterminate,none
*122/*144,,CYP2D6 Indeterminate,none
*122/*145,,CYP2D6 Indeterminate,none
*122/*146,,CYP2D6 Indeterminate,none
*122/*146x2,,CYP2D6 Indeterminate,none
*122/*147,,CYP2D6 Indeterminate,none
*122/*148,,CYP2D6 Indeterminate,none
*122/*149,,CYP2D6 Indeterminate,none
*122/*152,,CYP2D6 Indeterminate,none
*122/*153,,CYP2D6 Indeterminate,none
*122/*154,,CYP2D6 Indeterminate,none
*122/*155,,CYP2D6 Indeterminate,none
*122/*156,,CYP2D6 Indeterminate,none
*122/*157,,CYP2D6 Indeterminate,none
*122/*158,,CYP2D6 Indeterminate,none
*122/*159,,CYP2D6 Indeterminate,none
*122/*160,,CYP2D6 Indeterminate,none
*122/*161,,CYP2D6 Indeterminate,none
*122/*162,,CYP2D6 Indeterminate,none
*122/*163,,CYP2D6 Indeterminate,none
*123/*123,,CYP2D6 Indeterminate,none
*123/*124,,CYP2D6 Indeterminate,none
*123/*125,,CYP2D6 Indeterminate,none
*123/*126,,CYP2D6 Indeterminate,none
*123/*127,,CYP2D6 Indeterminate,none
*123/*128,,CYP2D6 Indeterminate,none
*123/*129,,CYP2D6 Indeterminate,none
*123/*130,,CYP2D6 Indeterminate,none
*123/*131,,CYP2D6 Indeterminate,none
*123/*132,,CYP2D6 Indeterminate,none
*123/*133,,CYP2D6 Indeterminate,none
*123/*134,,CYP2D6 Indeterminate,none
*123/*135,,CYP2D6 Indeterminate,none
*123/*136,,CYP2D6 Indeterminate,none
*123/*137,,CYP2D6 Indeterminate,none
*123/*138,,CYP2D6 Indeterminate,none
*123/*139,,CYP2D6 Indeterminate,none
*123/*140,,CYP2D6 Indeterminate,none
*123/*141,,CYP2D6 Indeterminate,none
*123/*142,,CYP2D6 Indeterminate,none
*123/*143,,CYP2D6 Indeterminate,none
*123/*144,,CYP2D6 Indeterminate,none
*123/*145,,CYP2D6 Indeterminate,none
*123/*146,,CYP2D6 Indeterminate,none
*123/*146x2,,CYP2D6 Indeterminate,none
*123/*147,,CYP2D6 Indeterminate,none
*123/*148,,CYP2D6 Indeterminate,none
*123/*149,,CYP2D6 Indeterminate,none
*123/*152,,CYP2D6 Indeterminate,none
*123/*153,,CYP2D6 Indeterminate,none
*123/*154,,CYP2D6 Indeterminate,none
*123/*155,,CYP2D6 Indeterminate,none
*123/*156,,CYP2D6 Indeterminate,none
*123/*157,,CYP2D6 Indeterminate,none
*123/*158,,CYP2D6 Indeterminate,none
*123/*159,,CYP2D6 Indeterminate,none
*123/*160,,CYP2D6 Indeterminate,none
*123/*161,,CYP2D6 Indeterminate,none
*123/*162,,CYP2D6 Indeterminate,none
*123/*163,,CYP2D6 Indeterminate,none
*124/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*124/*125,,CYP2D6 Indeterminate,none
*124/*126,,CYP2D6 Indeterminate,none
*124/*127,,CYP2D6 Indeterminate,none
*124/*128,,CYP2D6 Indeterminate,none
*124/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*124/*130,,CYP2D6 Indeterminate,none
*124/*131,,CYP2D6 Indeterminate,none
*124/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*124/*133,,CYP2D6 Indeterminate,none
*124/*134,,CYP2D6 Indeterminate,none
*124/*135,,CYP2D6 Indeterminate,none
*124/*136,,CYP2D6 Indeterminate,none
*124/*137,,CYP2D6 Indeterminate,none
*124/*138,,CYP2D6 Indeterminate,none
*124/*139,,CYP2D6 Indeterminate,none
*124/*140,,CYP2D6 Indeterminate,none
*124/*141,,CYP2D6 Indeterminate,none
*124/*142,,CYP2D6 Indeterminate,none
*124/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*124/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*124/*145,,CYP2D6 Indeterminate,none
