CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36+*10/*93,,CYP2D6 Indeterminate,none
*36+*10/*94,,CYP2D6 Indeterminate,none
*36+*10/*95,,CYP2D6 Indeterminate,none
*36+*10/*96,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*97,,CYP2D6 Indeterminate,none
*36+*10/*98,,CYP2D6 Indeterminate,none
*36+*10/*99,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*100,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*101,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*102,,CYP2D6 Indeterminate,none
*36+*10/*103,,CYP2D6 Indeterminate,none
*36+*10/*104,,CYP2D6 Indeterminate,none
*36+*10/*105,,CYP2D6 Indeterminate,none
*36+*10/*106,,CYP2D6 Indeterminate,none
*36+*10/*107,,CYP2D6 Indeterminate,none
*36+*10/*108,,CYP2D6 Indeterminate,none
*36+*10/*109,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*110,,CYP2D6 Indeterminate,none
*36+*10/*111,,CYP2D6 Indeterminate,none
*36+*10/*112,,CYP2D6 Indeterminate,none
*36+*10/*113,,CYP2D6 Indeterminate,none
*36+*10/*114,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*115,,CYP2D6 Indeterminate,none
*36+*10/*116,,CYP2D6 Indeterminate,none
*36+*10/*117,,CYP2D6 Indeterminate,none
*36+*10/*118,,CYP2D6 Indeterminate,none
*36+*10/*119,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*120,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*121,,CYP2D6 Indeterminate,none
*36+*10/*122,,CYP2D6 Indeterminate,none
*36+*10/*123,,CYP2D6 Indeterminate,none
*36+*10/*124,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*125,,CYP2D6 Indeterminate,none
*36+*10/*126,,CYP2D6 Indeterminate,none
*36+*10/*127,,CYP2D6 Indeterminate,none
*36+*10/*128,,CYP2D6 Indeterminate,none
*36+*10/*129,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*130,,CYP2D6 Indeterminate,none
*36+*10/*131,,CYP2D6 Indeterminate,none
*36+*10/*132,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*133,,CYP2D6 Indeterminate,none
*36+*10/*134,,CYP2D6 Indeterminate,none
*36+*10/*135,,CYP2D6 Indeterminate,none
*36+*10/*136,,CYP2D6 Indeterminate,none
*36+*10/*137,,CYP2D6 Indeterminate,none
*36+*10/*138,,CYP2D6 Indeterminate,none
*36+*10/*139,,CYP2D6 Indeterminate,none
*36+*10/*140,,CYP2D6 Indeterminate,none
*36+*10/*141,,CYP2D6 Indeterminate,none
*36+*10/*142,,CYP2D6 Indeterminate,none
*36+*10/*143,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*144,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*145,,CYP2D6 Indeterminate,none
*36+*10/*146,,CYP2D6 Indeterminate,none
*36+*10/*146x2,,CYP2D6 Indeterminate,none
*36+*10/*147,,CYP2D6 Indeterminate,none
*36+*10/*148,,CYP2D6 Indeterminate,none
*36+*10/*149,,CYP2D6 Indeterminate,none
*36+*10/*152,,CYP2D6 Indeterminate,none
*36+*10/*153,,CYP2D6 Indeterminate,none
*36+*10/*154,,CYP2D6 Indeterminate,none
*36+*10/*155,,CYP2D6 Indeterminate,none
*36+*10/*156,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*157,,CYP2D6 Indeterminate,none
*36+*10/*158,,CYP2D6 Indeterminate,none
*36+*10/*159,,CYP2D6 Indeterminate,none
*36+*10/*160,,CYP2D6 Indeterminate,none
*36+*10/*161,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10/*162,,CYP2D6 Indeterminate,none
*36+*10/*163,,CYP2D6 Indeterminate,none
*36+*10x2/*36+*10x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*36x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*36x2+*10,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*36x2+*10x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*37,,CYP2D6 Indeterminate,none
*36+*10x2/*38,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*39,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*40,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*41,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*41x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*41x3,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*42,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*43,,CYP2D6 Indeterminate,none
*36+*10x2/*43x2,,CYP2D6 Indeterminate,none
*36+*10x2/*44,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*45,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*45x2,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*46,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*47,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*48,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*49,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*50,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*51,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*52,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*53,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36+*10x2/*54,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*55,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
